method,size,n,greedy_correct,greedy_correct_ci_lo,greedy_correct_ci_hi,pass1_correct,pass1_correct_ci_lo,pass1_correct_ci_hi,sc_correct,sc_correct_ci_lo,sc_correct_ci_hi,consistency_ratio,consistency_ratio_ci_lo,consistency_ratio_ci_hi,nli_score,nli_score_ci_lo,nli_score_ci_hi,judge_score_first,judge_score_first_ci_lo,judge_score_first_ci_hi,judge_score_mean,judge_score_mean_ci_lo,judge_score_mean_ci_hi,judge_score_greedy,judge_score_greedy_ci_lo,judge_score_greedy_ci_hi
dpo,1.5b,200,0.425,0.355,0.495,0.345,0.28,0.41,0.615,0.55,0.685,0.6635,0.6189166666666668,0.70766875,0.3190851504629245,0.27752834096441076,0.3612746602384141,0.37875,0.31625,0.44,0.389,0.34775,0.42924999999999996,0.4575,0.3925,0.52125
dpo,14b,200,0.78,0.72,0.835,0.735,0.67,0.795,0.87,0.82,0.915,0.87375,0.82983125,0.91366875,0.3531443484785268,0.3172683415000502,0.38858112301400977,0.74,0.68,0.79875,0.715,0.6680000000000001,0.7594999999999998,0.785,0.725,0.84
dpo,3b,200,0.135,0.09,0.185,0.2,0.145,0.255,0.51,0.44,0.58,0.65875,0.60625,0.71125,0.17615507248498033,0.14304793254169634,0.2109953613190737,0.2275,0.175,0.2825,0.24525,0.21699999999999997,0.27449999999999997,0.18375,0.13625,0.235
dpo,7b,200,0.43,0.365,0.5,0.39,0.325,0.46,0.61,0.54,0.675,0.65075,0.5948333333333333,0.7048333333333333,0.19869599357101833,0.16505389339412796,0.23310073452306823,0.4275,0.36375,0.49125,0.41800000000000004,0.3715,0.466,0.4875,0.4225,0.5525
grpo,1.5b,200,0.47,0.4,0.54,0.35,0.285,0.415,0.555,0.485,0.625,0.52825,0.49249791666666665,0.56475,0.5385968813067302,0.49523180723376575,0.5818796626130353,0.375,0.31375,0.435,0.3872499999999999,0.3477499999999999,0.42700625,0.51875,0.45625,0.58125
grpo,14b,200,0.83,0.775,0.88,0.775,0.715,0.835,0.935,0.9,0.97,0.8909166666666667,0.8620812500000001,0.9172499999999999,0.49081885410938414,0.4540656463134801,0.5282087458571186,0.71125,0.65,0.76875,0.6809999999999999,0.6455,0.7154999999999998,0.79,0.73375,0.8425
grpo,3b,200,0.265,0.205,0.33,0.205,0.15,0.26,0.53,0.46,0.6,0.6891666666666667,0.6378333333333334,0.73775,0.4265034374245442,0.37958495200541803,0.4738047880692757,0.20625,0.15375,0.26125,0.18974999999999997,0.16325,0.2165,0.24125,0.18375,0.29875
grpo,7b,200,0.75,0.69,0.81,0.65,0.585,0.715,0.875,0.825,0.92,0.8341666666666667,0.79933125,0.8680854166666666,0.5068534919782541,0.4675127007049159,0.5454227924704901,0.655,0.59125,0.7175,0.6855,0.64499375,0.725,0.76125,0.7025,0.8175
